rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,speechiness,liveness
64,3yyHRwblo5kk0fH9pfMP6M,"Marina Maximilian, Guy Mentesh",ביחד,Marina Maximilian under exclusive license to D-Music,14,68,147,71597,06/07/2023,0.565,0.59,0.272,108.111,-5.73,0.402,0,0.0838,0.265
65,19Zvnq0V2c3LQEnw50nknb,"Ninet Tayeb, Tuna",ככה זה,Helicon Music,35,42,3,71437,06/07/2023,0.479,0.833,0.305,176.04,-3.17,0.113,0,0.148,0.144
66,4fYte8ZvTK14NEhAOZocBi,OneRepublic,I Ain't Worried,Mosley Music/Interscope Records,14,61,54,70735,06/07/2023,0.697,0.802,0.822,139.951,-6.412,0.0988,0,0.0456,0.0614
67,6hZ193Uo3duDjO6UYtLWNd,Nunu,אומיגאד,Neomi Aharoni Gal under exclusive license to D-Music,67,-1,1,70661,06/07/2023,0.632,0.812,0.471,144.856,-4.931,0.0275,0,0.0775,0.123
68,60GvepzSwgGx8kaZNln4L0,Ravid Plotnik,כל הזמן הזה,NaNa Disc,28,76,277,69950,06/07/2023,0.582,0.465,0.33,147.959,-11.032,0.0591,0,0.0555,0.267
69,725hyNaW6DtJIrUtkk5K8o,אליאן כהן,בעולם הזה,2023 S.B.E Music By PIL LTD,47,58,10,69169,06/07/2023,0.708,0.37,0.219,130.023,-11.058,0.813,0,0.0538,0.145
70,3uidHx3If1PWAOCMcCdkNH,Tuna,סהרה,NaNa Disc,10,77,81,68915,06/07/2023,0.587,0.531,0.565,160.092,-7.844,0.39,0,0.0741,0.171
71,5tNrVA1ySsk7HkV5yg2iXN,"Marina Maximilian, Itay Galo",עולה על שולחנות,Marina Maximilian / Itay Galo under exclusive license to D-Music,17,62,51,68315,06/07/2023,0.825,0.783,0.652,125.014,-6.674,0.123,0.0012,0.0452,0.117
72,2dHHgzDwk4BJdRwy9uXhTO,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,10,66,31,67423,06/07/2023,0.716,0.613,0.157,97.914,-6.018,0.391,0,0.0522,0.0813
73,3RBpmZJ0YG9abVBXI2U1UO,Eden Hason,את חסרה לי,Mobile1 Music,1,71,158,66830,06/07/2023,0.651,0.645,0.307,129.931,-6.173,0.47,0,0.0624,0.2
74,6clAq1cGO4PYimAmzelTmL,Shira Margalit,אחותי כבר לא סובלת אותך,Anana Ltd,12,69,32,66774,06/07/2023,0.695,0.611,0.452,164.187,-3.976,0.166,0,0.223,0.138
75,7rNA5Jwu23g7PaXcMwfLdq,Eden Hason,מדליקה לי הכל,Mobile1 Music,7,60,88,65397,06/07/2023,0.681,0.691,0.787,127.002,-5.31,0.397,0,0.0604,0.107
76,4JmmjsGmOED0sn0Le3r84u,"Tuna, Ravid Plotnik",עולם משוגע,Anana,29,65,268,64895,06/07/2023,0.569,0.633,0.568,149.904,-8.26,0.363,0.0016,0.0965,0.123
77,6kVmhOoBlMEH3WdxrLhjFB,"Static, Eden Ben Zaken",הפשע המושלם,Mobile1 Music,25,73,20,64554,06/07/2023,0.804,0.706,0.906,99.018,-5.034,0.0369,0,0.0961,0.291
78,06RR5ewHedBUC9GRgWLwkK,Ravid Plotnik,מוזיקה טובה,NaNa Disc,25,70,33,64394,06/07/2023,0.647,0.559,0.651,85.409,-6.751,0.128,0,0.181,0.167
79,05KQMm1vL6MnJkgobUtwft,Omer Adam,לבד על המיטה,P.A.I LTD,2,67,74,63898,06/07/2023,0.637,0.53,0.408,140.204,-5.661,0.679,0,0.0336,0.0997
80,5CCxCzPB3HMh595Y1MNIm5,Tuna,סחרחורת,Anana Ltd.,32,78,100,62769,06/07/2023,0.602,0.755,0.449,92.88,-4.901,0.0905,0,0.0873,0.68
81,7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Riptide,F-Stop Records/Atlantic,70,111,167,62139,06/07/2023,0.484,0.731,0.51,101.654,-6.694,0.431,0,0.0379,0.151
82,5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,41,80,52,61159,06/07/2023,0.464,0.417,0.479,67.528,-9.345,0.136,0.022,0.0256,0.0974
83,5RnhWaP5VD3eJN3J0chPmh,"Tuna, Tzlil Danin",בסיבוב,Anana Ltd.,36,81,270,61048,06/07/2023,0.633,0.81,0.665,94.009,-6.819,0.0997,0,0.0486,0.12
84,57BFhpG4Iq4Zgnoz2X6zbT,"Osher Cohen, Nadav Navi Aharoni",חמישי שישי,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,17,82,61,60872,06/07/2023,0.754,0.661,0.198,121.981,-7.454,0.125,0.0071,0.0388,0.109
85,0SmY5bTuls1ccput6QhHSA,Adir Getz,"אני אוהב, אני מכור, אני שרוף",Unicell,18,74,54,60788,06/07/2023,0.708,0.287,0.461,135.875,-10.791,0.875,0,0.0349,0.115
86,2LjK33xiNA8BA4U1ndj2bO,Jasmin Moallem,לבד במדבר,Helicon Music,57,79,5,60541,06/07/2023,0.699,0.434,0.433,92.02,-7.836,0.495,0,0.0501,0.232
87,1saT4tObMScARIwT4wTv0W,Ravid Plotnik,נתראה בגלגול הבא,NaNa Disc,26,89,182,59774,06/07/2023,0.511,0.396,0.197,111.506,-13.945,0.184,0.51,0.0389,0.68
88,0hlBI8n1v5F2mj0tDIM5ai,LIAD MEIR,שלוק מהבלו,2020 Duda By PIL LTD,88,88,5,59510,06/07/2023,0.921,0.577,0.708,111.947,-7.98,0.51,0,0.293,0.914
89,4W1G1xlxcirdtXosgsR0m0,Agam Buhbut,קופידון (Prod. By Triangle),2022 Z.I. Productions BY PIL LTD,10,84,42,59389,06/07/2023,0.763,0.618,0.805,110.034,-5.919,0.166,0,0.072,0.149
90,4mRreSUqP7waa2jT5ul41T,Ravid Plotnik,יום חדש,NaNa Disc,37,94,77,58559,06/07/2023,0.633,0.59,0.32,85.015,-5.626,0.0363,0,0.304,0.16
91,0Ap742kKOE7chXEdDZWvOq,"Avraham Tal, Benaia Barabi",מי לא יבוא,Avraham Tal / Or Mermelstein under exclusive license to D-Music,39,72,114,58440,06/07/2023,0.77,0.416,0.573,102.088,-10.731,0.497,0,0.115,0.113
92,3Y4G4E7EVomTWTFSFS0Sn5,Hanan Ben Ari,אלוף העולם,Hanan Ben Ari / Mor Dahan under exclusive license to D-Music,2,83,228,58262,06/07/2023,0.582,0.433,0.22,127.511,-8.309,0.747,0,0.0501,0.133
93,7FbrGaHYVDmfr7KoLIZnQ7,FIFTY FIFTY,Cupid - Twin Version,SME Korea Inc.,53,90,13,58149,06/07/2023,0.783,0.592,0.726,120.018,-8.332,0.435,0,0.0331,0.347
94,52n4gF126eIllrGuc9Zus6,Ishay Ribo,לשוב הביתה,2018 ISHAY RIBO LTD BY PIL LTD,10,87,278,57905,06/07/2023,0.73,0.448,0.632,104.007,-9.074,0.51,0,0.0309,0.0926
95,7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,21,85,86,57634,06/07/2023,0.442,0.538,0.139,122.758,-8.55,0.717,0,0.0451,0.09
96,5e4PVtYVBu9BpJVhmQhIvS,Hanan Ben Ari,שמש,Hanan Ben Ari / Mor Dahan under exclusive license to D-Music,26,91,200,57077,06/07/2023,0.485,0.42,0.113,124.444,-8.801,0.575,0,0.036,0.0907
97,4ZczcAx568Lt9m51yuMsTy,Osher Cohen,איך שאת אוהבת,Helicon Aroma Music Ltd./ P.A.I Ltd.,61,64,4,56208,06/07/2023,0.721,0.539,0.49,102.211,-9.351,0.331,0,0.0792,0.15
98,6uWUsqSzbYxGhRJHNI7xPE,Elisha Banai,סן דייגו,Unicell,60,121,50,55843,06/07/2023,0.408,0.516,0.257,76.968,-6.309,0.478,0,0.0307,0.107
99,26ffnwQVV4votOweWSwpeN,Narkis,הולכת איתך,session42,2,103,103,55754,06/07/2023,0.696,0.797,0.454,107.925,-6.031,0.0251,0,0.0696,0.105
100,0x9UM4GuxnMJUjyuipowmo,Akiva,אל תעזבי ידיים,2021 Akiva Turgeman+Or Davidson BY PIL LTD,23,96,176,55353,06/07/2023,0.605,0.455,0.26,88.079,-7.956,0.739,0,0.0472,0.224
101,4b5dVRUzTCy0ngxobUX2DG,Peer Tasi,חורף בחלון,Peer Tasi LTD under exclusive license to D-Music,43,98,40,55024,06/07/2023,0.596,0.432,0.392,122,-7.36,0.537,0,0.0301,0.171
102,3iJQ54fGO6CyP374UzvDJu,Anna Zak,מי זאת,ITModels under exclusive license to D-Music,1,112,59,54894,06/07/2023,0.88,0.454,0.636,93.985,-8.404,0.192,0,0.0865,0.0786
103,0tIQwXFOyQjd6K7w7PIBrn,Akiva,יש בך הכל,2022 Akiva+Or D. BY PIL LTD,72,95,56,54738,06/07/2023,0.561,0.566,0.436,142.87,-8.479,0.609,0.0004,0.0375,0.131
104,1mea3bSkSGXuIRvnydlB5b,Coldplay,Viva La Vida,Parlophone UK,95,100,44,54427,06/07/2023,0.486,0.617,0.417,138.015,-7.115,0.0954,0,0.0287,0.109
105,7j4OmvkjRz0PrjFADlHfQx,Adele,Set Fire to the Rain,XL Recordings,70,101,29,53599,06/07/2023,0.603,0.67,0.446,107.993,-3.882,0.0041,0,0.0249,0.112
106,3BKD1PwArikchz2Zrlp1qi,"David Guetta, Anne-Marie, Coi Leray",Baby Don't Hurt Me,Parlophone UK,106,114,8,53451,06/07/2023,0.602,0.91,0.228,127.944,-3.404,0.0013,0.0002,0.0308,0.12
107,7wL2FfAPuP90EqSBALn7qM,"Omer Adam, E-Z",התעוררתי עם נמר,P.A.I LTD,44,75,5,52681,06/07/2023,0.829,0.659,0.439,99.976,-7.904,0.324,0,0.128,0.172
108,0PfvEnfj3hHl7zlc0WcfGY,Ravid Plotnik,‏שלווה בארמונותייך,NaNa Disc,25,99,63,51985,06/07/2023,0.335,0.331,0.187,136.164,-10.124,0.563,0,0.0349,0.161
109,04qYVjQ9bRRpJzz5sm7cEk,Hanan Ben Ari,אם תרצי,Hanan Ben Ari / Mor Dahan under exclusive license to D-Music,5,106,175,51714,06/07/2023,0.669,0.593,0.774,131.043,-9.851,0.355,0,0.0361,0.343
110,706pZPUcsKsREHM8RqHaY0,"Eyal Golan, Benaia Barabi",ממה את מפחדת,Liam Productions under exclusive license to D-Music,1,107,183,51461,06/07/2023,0.642,0.384,0.387,131.796,-8.05,0.635,0,0.0381,0.114
